Object Size (MB),Vector Count,Vector Insert,Vector Remove,VectorPointer Insert,VectorPointer Remove,std::vector Insert,std::vector Remove
1,100,46.6,44.4,1,0,0.2,0
2,50,42.6,41.2,1,0.2,0.2,0.2
3,33,37.8,37,1.4,0.4,0.2,0
4,25,37,35,2,0.2,0.4,0.2
5,20,35.4,34,2,0.4,0.6,0.2
6,16,34,32,2.2,0.6,0.8,0.2
7,14,34.4,31.8,3,0.2,1,0.6
8,12,33.6,30.8,3,0.2,1.2,0.6
9,11,34.4,31.6,3.2,0.2,1.6,0.4
10,10,36,32.2,4,0.4,1.6,0.6
11,9,34.6,30.6,4.2,0.6,1.4,0.6
12,8,34,29.8,4.2,0.8,1.4,0.8
13,7,32,28,4.8,1,1.4,0.6
14,7,34.4,30.4,5,0.4,2,0.8
15,6,32.6,27.8,5.4,0.8,2,0.8
16,6,34,29.4,5.8,0.8,2.2,0.8
17,5,32.8,25.8,5.8,0.6,2.6,0.8
18,5,33.2,27.6,6.6,0.6,2.6,1
19,5,34.8,29.4,6.2,1,2.8,1
20,5,36.4,30.8,7,1,3,1
21,4,32,26,7.2,1,2.8,1.2
22,4,33,26.8,7.6,1.2,3,1.4
23,4,34.6,27.8,8.2,1,3.2,1.2
24,4,36.2,29.2,8.2,1,3.8,1
25,4,38,30.2,8.8,1,3.6,1.4
26,3,31.4,24.2,8.6,1.4,3.8,1.2
27,3,32.8,24.8,9.2,1,4,1.2
28,3,33.8,25.6,9.8,1.4,3.8,1.4
29,3,35.6,26,9.8,1.6,4.2,1.2
30,3,36.2,27.4,10.4,1.4,4,1.8
31,3,37,28.6,10.6,1.8,4.2,1.6
32,3,38.6,29.4,10.6,2,4,1.8
33,3,37.8,30.2,9,1.8,2.6,1.6
34,2,28.8,20.8,9.2,1.8,2.6,1.6
35,2,29.6,21.8,9.6,1.8,2.8,1.4
36,2,30.4,22.2,9.8,2,2.8,1.8
37,2,32,23,10,2,2.8,1.6
38,2,32.4,23.2,11,1.8,3,1.6
39,2,33.2,23.6,11,1.6,3,1.6
40,2,33.4,24.4,11,1.8,3.2,1.8
41,2,35.2,25,11.8,1.8,3.4,2
42,2,35,25.8,11.4,2,3.4,2
43,2,36.6,27.6,11.8,1.8,3.6,2
44,2,36.8,27.2,12,1.8,3.8,1.8
45,2,37.8,28,12.2,2,3.4,2.6
46,2,40.4,29.6,13.2,2,4,2.4
47,2,39.4,28.8,12.8,2.6,3.4,2.6
48,2,40.4,29.6,13,2,4,2.4
49,2,41.2,30.2,13.4,2,4,2.4
50,2,42.8,31.4,13.8,2.4,4.2,2.4
