ObjectSizeMB,Vector Count,Vector Insert,Vector Remove,VectorPointer Insert,VectorPointer Remove
1,50,23.35,22.3,19.1,18.4
2,50,42.55,41.2,31,30
3,50,56.6,55.55,45.2,44.1
4,50,71.7,70.7,59.1,58.55
5,50,87.6,85.95,74.1,72.5
6,50,100.15,98.4,88.75,86.95
7,50,115.3,112.2,105.65,99.7
8,50,129.1,126.25,117.65,114.85
9,50,143.4,140.8,130.55,129.4
10,50,156.65,154.5,145.35,142.05
11,50,173.45,169.5,159.85,155.75
12,50,186.75,182.05,175.25,169.15
13,50,200,195.65,188,183.5
14,50,213.6,208.75,201.6,198.4
15,50,231.55,225.15,217.35,213.2
16,50,243.1,237.65,229.1,224.8
17,50,255.95,250.7,243.65,238.9
18,50,271.05,265.15,258.35,250.9
19,50,287.8,277.6,271.6,265
20,50,301.8,293.55,284.8,279.7
21,50,314.95,308.2,304.6,300.4
22,50,326.1,320.05,319.4,308.7
23,50,342.65,334.4,328.75,319.15
24,50,356.75,346.55,343.15,333
25,50,371.25,362.7,356.85,349.45
26,50,385.25,374.15,372.45,363.6
27,50,399.4,388.4,383.85,376.25
28,50,417.8,405.55,398.55,389.65
29,50,425.4,416.5,412.95,401.25
30,50,440.25,430.5,425.85,415.1
31,50,454.15,440.6,441.95,429.3
32,50,470.5,457.45,454.85,444.2
33,50,479.4,467.05,474.4,460.25
34,50,495.35,482.95,480.35,471.1
35,50,507.3,496.9,497.45,485.8
36,50,525.65,511.55,511.9,497.55
37,50,538.2,524.65,524.05,510.9
38,50,552.5,538.4,538.35,524.95
39,50,566.6,554.6,553.2,540.15
40,50,580.85,568.2,567.5,554.1
41,50,595.2,578.05,583.95,567.1
42,50,617.35,602.45,601.6,587.7
43,50,621.15,607.35,605.75,596.1
44,50,637.2,630,621.85,607.25
45,50,667.25,648.65,636.45,619.1
46,50,673.65,651.45,661.2,645
47,50,690.45,670.45,676.95,654.75
48,50,708.5,685.85,686.7,665
49,50,728.35,705.35,697.95,679.35
50,50,735.5,715.45,710.65,689.6
