Object Size (MB),Vector Count,Vector Insert,Vector Remove,VectorPointer Insert,VectorPointer Remove,std::vector Insert,std::vector Remove
1,100,51.66,41.7,0.62,0.08,0.18,0.02
2,50,40.38,38.48,0.66,0.06,0.28,0.08
3,33,37.16,34.02,0.9,0.1,0.4,0.1
4,25,35.5,32.56,1.02,0.22,0.52,0.18
5,20,35.82,31.38,1.1,0.26,0.7,0.22
6,16,34.24,29.56,1.24,0.32,0.78,0.24
7,14,33.64,29.82,1.5,0.22,1.04,0.24
8,12,33.5,28.64,1.5,0.34,1.1,0.28
9,11,32.04,29.5,1.72,0.28,1.14,0.48
10,10,32.62,29.88,1.82,0.34,1.4,0.46
11,9,32.3,29.3,2.04,0.46,1.5,0.42
12,8,32.6,28.8,2.2,0.42,1.86,0.34
13,7,30.4,26.44,2.38,0.46,1.96,0.42
14,7,32.58,28.6,2.52,0.58,2.36,0.52
15,6,30.54,26.1,3.16,0.68,2.98,0.7
16,6,33.9,28.64,3.34,0.58,2.66,0.68
17,5,29.42,24.36,2.84,0.68,3.52,0.7
18,5,31.62,26.24,3.1,0.58,2.78,0.54
19,5,32.68,27.2,3.14,0.66,3.1,0.78
20,5,36.1,30.04,4.06,0.74,3.6,0.74
21,4,32.6,26.02,3.9,0.78,3.88,0.92
22,4,32.62,25.96,3.82,0.74,3.46,0.68
23,4,35.06,27.22,4.66,0.92,4.46,0.98
24,4,34.34,28.26,4.64,0.94,4.26,0.94
25,4,35.32,29.44,5.76,1,4.18,0.88
26,3,29.8,22.5,4,1.02,5.26,1.06
27,3,31.16,23,5,1.04,5.58,1.08
28,3,33.26,24.32,5.12,1.1,5,1.06
29,3,33.12,27.32,5.12,1.04,3.94,1.04
30,3,35.04,28.08,4.64,1.02,4.12,1.04
31,3,36.44,29.06,4.66,1.02,4.3,1.1
32,3,38.52,29.36,4.84,1.06,4.44,1.34
33,3,39.68,30.24,4.94,1.12,4.72,1.32
34,2,29.68,21.36,5.74,1.26,5.68,1.26
35,2,30.62,21.66,6.12,1.3,5.66,1.3
36,2,31.44,23.38,5.86,1.26,5,1.4
37,2,33.72,22.9,5.62,1.32,6.22,1.38
38,2,34.4,22.76,5.6,1.46,6.12,1.4
39,2,34.9,23.5,6.82,1.5,6.56,1.52
40,2,34.06,24.08,8.58,1.38,5.7,1.3
41,2,37.22,25.72,6.1,1.32,5.88,1.46
42,2,37.92,25.7,6.24,1.36,6.06,1.56
43,2,38.92,26.84,6.26,1.46,6.34,1.62
44,2,40.82,27.54,6.9,1.76,7.3,1.72
45,2,40.9,27.82,7.3,1.7,6.62,1.84
46,2,42.96,29,7.66,1.84,6.78,1.88
47,2,41.54,28.02,7.2,1.8,6.6,1.82
48,2,45.74,31.5,8.14,1.92,7.36,1.96
49,2,46.72,31.5,8.5,2.06,7.58,1.94
50,2,45.04,30.08,7.84,2,7.1,2.04
